"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","15.62958910177478"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.316339077341425"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.595752268564002"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.590421660346536"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.805174904225337"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.074445082595236"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.511237199246064"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.92311209292126"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.403331867660979"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.449792694003829"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.243497939471627"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.702108400228214"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.474823293867086"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.140769784272621"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.9881829259138613"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.244809747752132"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.331571974912865"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.062079891129525"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.258990690905414"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.381723652101265"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.369788636323905"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.237050401372567"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.050623044831054"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.364446647477521"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.554354661040458"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.797903983168625"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.718340617438857"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.43385430200038"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.595262578246103"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","13.117728592739471"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.0237027085973"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","9.5026407168253098"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.105366696626884"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","11.433224579067822"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.353522283861572"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","10.305833428414731"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.327281988837267"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","Male","Percentage (%)","Units","Normal value","12.152962980892299"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","9.495"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","10.235"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","9.0975"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","10.395"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","10.175"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","8.935"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","7.9075"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","7.1625"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","6.565"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","7.4925"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","6.45"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","5.07"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","3.745"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.0225"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.7075"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","Male","Percentage (%)","Units","Normal value","4.98"
