Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,24.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,26.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,26.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,29.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,27.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,25-34,Percentage,Units,Normal value,27.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,17.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,18.399999999999999
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,15
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,16.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,17.899999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,18.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,21.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,20.399999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,20.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,25.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,35-44,Percentage,Units,Normal value,23.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,16.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,14.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,15.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,15.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,16.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,17.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,18.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,19.600000000000001
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,21.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,21.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,45-54,Percentage,Units,Normal value,21.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,12.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,12.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,14.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,14.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,12.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,15.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,16.399999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,15.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,16.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,55-64,Percentage,Units,Normal value,17.899999999999999
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,7.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,7.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,7.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,7.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,6.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,8.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,6.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,7.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,8.1999999999999993
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,8.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,65+,Percentage,Units,Normal value,8.6999999999999993
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,13.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,14.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,13.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,14.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,15.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,16.600000000000001
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,17.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,18.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,19.399999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,20.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South East,All 18+,Percentage,Units,Normal value,20.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,17.899999999999999
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,20.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,22.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,19.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,20.399999999999999
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Men,South West,18-24,Percentage,Units,Normal value,22
