"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","21.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","22.5"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","22.4"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","25.3"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","24.7"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","25 to 34","England","South East","","","","Percentage","Units","Normal value","23.7"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","14.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","14.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","12.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","13.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","14.9"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","15.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","18.9"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","18.2"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","18.6"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","21.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","35 to 44","England","South East","","","","Percentage","Units","Normal value","21.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","14.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","13.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","13.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","13.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","14.7"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","15.9"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","17.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","17.4"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","18.9"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","19"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","","45 to 54","England","South East","","","","Percentage","Units","Normal value","19.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","South East","","","","Percentage","Units","Normal value","11.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","South East","","","","Percentage","Units","Normal value","12.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","55 to 64","England","South East","","","","Percentage","Units","Normal value","11.7"
